offline_datapoint_11 1573564186 158944,000
offline_datapoint_5 1573564186 2343,000
offline_datapoint_26 1573564186 255713280,000
offline_datapoint_14 1573564186 249282560,000
offline_datapoint_3 1573564186 8847904768,000
offline_datapoint_9 1573564186 100614144,000
offline_datapoint_25 1573564186 1817,000
offline_datapoint_19 1573564184 154,925
offline_datapoint_8 1573564184 10380,217
offline_datapoint_21 1573564186 100614144,000
offline_datapoint_1 1573564184 24,318
offline_datapoint_20 1573564186 4919844864,000
offline_datapoint_7 1573564186 4987772928,000
offline_datapoint_6 1573564184 0,107
offline_datapoint_12 1573564184 22,084
offline_datapoint_24 1573564184 10,033
offline_datapoint_13 1573564184 7627,643
offline_datapoint_18 1573564186 0,000
offline_datapoint_0 1573564184 12164,718
offline_datapoint_16 1573564184 732,271
offline_datapoint_28 1573564184 1,218
offline_datapoint_17 1573564184 30,329
offline_datapoint_10 1573564184 98,562
offline_datapoint_29 1573564184 0,000
offline_datapoint_22 1573564184 22495,712
offline_datapoint_4 1573564184 0,012
offline_datapoint_11 1573564188 158944,000
offline_datapoint_5 1573564188 2343,000
offline_datapoint_26 1573564188 255717376,000
offline_datapoint_14 1573564188 249729024,000
offline_datapoint_3 1573564188 8845778944,000
offline_datapoint_9 1573564188 100651008,000
offline_datapoint_25 1573564188 1819,000
offline_datapoint_19 1573564187 0,000
offline_datapoint_8 1573564187 342,749
offline_datapoint_21 1573564188 100651008,000
offline_datapoint_1 1573564187 0,000
offline_datapoint_20 1573564188 4917682176,000
offline_datapoint_7 1573564188 4985999360,000
offline_datapoint_6 1573564187 0,000
offline_datapoint_12 1573564187 1,304
offline_datapoint_24 1573564187 1,005
offline_datapoint_13 1573564187 5190,136
offline_datapoint_18 1573564188 0,000
offline_datapoint_0 1573564187 6312,328
offline_datapoint_16 1573564187 69,494
offline_datapoint_28 1573564187 0,123
offline_datapoint_17 1573564187 3,861
offline_datapoint_10 1573564187 99,815
offline_datapoint_29 1573564187 0,000
offline_datapoint_22 1573564187 20024,889
offline_datapoint_4 1573564187 0,001
offline_datapoint_11 1573564191 158944,000
offline_datapoint_5 1573564191 2343,000
offline_datapoint_26 1573564191 255725568,000
offline_datapoint_14 1573564191 249729024,000
offline_datapoint_3 1573564191 8838377472,000
offline_datapoint_9 1573564191 98660352,000
offline_datapoint_25 1573564191 1821,000
offline_datapoint_19 1573564189 0,332
offline_datapoint_8 1573564189 154,182
offline_datapoint_21 1573564191 98660352,000
offline_datapoint_1 1573564189 0,332
offline_datapoint_20 1573564191 4917981184,000
offline_datapoint_7 1573564191 4986888192,000
offline_datapoint_6 1573564189 0,000
offline_datapoint_12 1573564189 8,500
offline_datapoint_24 1573564189 5,062
offline_datapoint_13 1573564189 7476,822
offline_datapoint_18 1573564191 0,000
offline_datapoint_0 1573564189 10872,478
offline_datapoint_16 1573564189 97,028
offline_datapoint_28 1573564189 0,200
offline_datapoint_17 1573564189 11,962
offline_datapoint_10 1573564189 99,722
offline_datapoint_29 1573564189 0,000
offline_datapoint_22 1573564189 7395,556
offline_datapoint_4 1573564189 0,002
offline_datapoint_11 1573564194 158944,000
offline_datapoint_5 1573564194 2342,000
offline_datapoint_26 1573564194 255778816,000
offline_datapoint_14 1573564194 249729024,000
offline_datapoint_3 1573564194 8829145088,000
offline_datapoint_9 1573564194 98668544,000
offline_datapoint_25 1573564194 1829,000
offline_datapoint_19 1573564192 0,000
offline_datapoint_8 1573564192 2213,023
offline_datapoint_21 1573564194 98668544,000
offline_datapoint_1 1573564192 0,000
offline_datapoint_20 1573564194 4909191168,000
offline_datapoint_7 1573564194 4977438720,000
offline_datapoint_6 1573564192 0,131
offline_datapoint_12 1573564192 4,602
offline_datapoint_24 1573564192 3,393
offline_datapoint_13 1573564192 5288,205
offline_datapoint_18 1573564194 0,000
offline_datapoint_0 1573564192 6310,705
offline_datapoint_16 1573564192 188,733
offline_datapoint_28 1573564192 0,205
offline_datapoint_17 1573564192 6,347
offline_datapoint_10 1573564192 99,747
offline_datapoint_29 1573564192 0,000
offline_datapoint_22 1573564192 45541,053
offline_datapoint_4 1573564192 0,002
offline_datapoint_11 1573564197 158944,000
offline_datapoint_5 1573564197 2341,000
offline_datapoint_26 1573564197 255950848,000
offline_datapoint_14 1573564197 248238080,000
offline_datapoint_3 1573564197 8828698624,000
offline_datapoint_9 1573564197 97533952,000
offline_datapoint_25 1573564197 1837,000
offline_datapoint_19 1573564195 0,333
offline_datapoint_8 1573564195 631,635
offline_datapoint_21 1573564197 97533952,000
offline_datapoint_1 1573564195 0,333
offline_datapoint_20 1573564197 4909297664,000
offline_datapoint_7 1573564197 4960079872,000
offline_datapoint_6 1573564195 0,000
offline_datapoint_12 1573564195 5,356
offline_datapoint_24 1573564195 3,515
offline_datapoint_13 1573564195 6202,689
offline_datapoint_18 1573564197 0,000
offline_datapoint_0 1573564195 7970,267
offline_datapoint_16 1573564195 117,327
offline_datapoint_28 1573564195 0,291
offline_datapoint_17 1573564195 19,666
offline_datapoint_10 1573564195 99,601
offline_datapoint_29 1573564195 1,333
offline_datapoint_22 1573564195 6482,441
offline_datapoint_4 1573564195 0,003
offline_datapoint_11 1573564200 158944,000
offline_datapoint_5 1573564200 2342,000
offline_datapoint_26 1573564200 255950848,000
offline_datapoint_14 1573564200 248238080,000
offline_datapoint_3 1573564200 8829820928,000
offline_datapoint_9 1573564200 97665024,000
offline_datapoint_25 1573564200 1833,000
offline_datapoint_19 1573564198 0,000
offline_datapoint_8 1573564198 3771,070
offline_datapoint_21 1573564200 97665024,000
offline_datapoint_1 1573564198 0,000
offline_datapoint_20 1573564200 4910436352,000
offline_datapoint_7 1573564200 4967706624,000
offline_datapoint_6 1573564198 0,261
offline_datapoint_12 1573564198 4,775
offline_datapoint_24 1573564198 2,866
offline_datapoint_13 1573564198 5117,356
offline_datapoint_18 1573564200 0,000
offline_datapoint_0 1573564198 6437,297
offline_datapoint_16 1573564198 228,439
offline_datapoint_28 1573564198 0,238
offline_datapoint_17 1573564198 9,671
offline_datapoint_10 1573564198 99,709
offline_datapoint_29 1573564198 0,667
offline_datapoint_22 1573564198 9851,586
offline_datapoint_4 1573564198 0,002
offline_datapoint_11 1573564203 158944,000
offline_datapoint_5 1573564203 2340,000
offline_datapoint_26 1573564203 255950848,000
offline_datapoint_14 1573564203 248561664,000
offline_datapoint_3 1573564203 8828452864,000
offline_datapoint_9 1573564203 97550336,000
offline_datapoint_25 1573564203 1833,000
offline_datapoint_19 1573564201 0,000
offline_datapoint_8 1573564201 38,331
offline_datapoint_21 1573564203 97550336,000
offline_datapoint_1 1573564201 0,000
offline_datapoint_20 1573564203 4908781568,000
offline_datapoint_7 1573564203 4966723584,000
offline_datapoint_6 1573564201 0,260
offline_datapoint_12 1573564201 4,171
offline_datapoint_24 1573564201 3,125
offline_datapoint_13 1573564201 5437,036
offline_datapoint_18 1573564203 0,000
offline_datapoint_0 1573564201 6066,335
offline_datapoint_16 1573564201 135,993
offline_datapoint_28 1573564201 0,102
