102 1573564184 0,138031 0,200000 0,138031 0,138031 0,003810
102 1573564185 0,138031 0,200000 0,138031 0,138031 0,003810
102 1573564186 0,138031 0,200000 0,138031 0,138031 0,003810
102 1573564187 0,138031 0,200000 0,138031 0,138031 0,003810
102 1573564188 0,138031 0,200000 0,138031 0,138031 0,003810
105 1573564189 7,427495 0,200000 7,427495 7,427495 11,033535
108 1573564189 0,094057 0,200000 0,094057 0,094057 0,001769
105 1573564190 7,427495 0,200000 7,427495 7,427495 11,033535
108 1573564190 0,094057 0,200000 0,094057 0,094057 0,001769
105 1573564191 7,427495 0,200000 7,427495 7,427495 11,033535
108 1573564191 0,094057 0,200000 0,094057 0,094057 0,001769
105 1573564192 7,427495 0,200000 7,427495 7,427495 11,033535
108 1573564192 0,094057 0,200000 0,094057 0,094057 0,001769
105 1573564193 7,427495 0,200000 7,427495 7,427495 11,033535
108 1573564193 0,094057 0,200000 0,094057 0,094057 0,001769
129 1573564199 0,047842 0,200000 0,047842 0,047842 0,000458
108 1573564199 0,126765 0,200000 0,126765 0,126765 0,003214
126 1573564199 7,341621 0,200000 7,341621 7,341621 10,779880
129 1573564200 0,047842 0,200000 0,047842 0,047842 0,000458
108 1573564200 0,126765 0,200000 0,126765 0,126765 0,003214
126 1573564200 7,341621 0,200000 7,341621 7,341621 10,779880
126 1573564201 7,341621 0,200000 7,341621 7,341621 10,779880
129 1573564201 0,047842 0,200000 0,047842 0,047842 0,000458
108 1573564201 0,126765 0,200000 0,126765 0,126765 0,003214
129 1573564202 0,047842 0,200000 0,047842 0,047842 0,000458
108 1573564202 0,126765 0,200000 0,126765 0,126765 0,003214
126 1573564202 7,341621 0,200000 7,341621 7,341621 10,779880
129 1573564203 0,047842 0,200000 0,047842 0,047842 0,000458
108 1573564203 0,126765 0,200000 0,126765 0,126765 0,003214
126 1573564203 7,341621 0,200000 7,341621 7,341621 10,779880
129 1573564204 0,044937 0,200000 0,044937 0,044937 0,000404
108 1573564204 0,134428 0,200000 0,134428 0,134428 0,003614
126 1573564204 7,372232 0,200000 7,372232 7,372232 10,869962
129 1573564205 0,044937 0,200000 0,044937 0,044937 0,000404
108 1573564205 0,134428 0,200000 0,134428 0,134428 0,003614
126 1573564205 7,372232 0,200000 7,372232 7,372232 10,869962
126 1573564206 7,372232 0,200000 7,372232 7,372232 10,869962
129 1573564206 0,044937 0,200000 0,044937 0,044937 0,000404
108 1573564206 0,134428 0,200000 0,134428 0,134428 0,003614
129 1573564207 0,044937 0,200000 0,044937 0,044937 0,000404
108 1573564207 0,134428 0,200000 0,134428 0,134428 0,003614
126 1573564207 7,372232 0,200000 7,372232 7,372232 10,869962
