100 1573564184 0,200000 -1,000000 -101,000000 0,000000 0,000000
100 1573564185 0,200000 -1,000000 -101,000000 0,000000 0,000000
100 1573564186 0,200000 -1,000000 -101,000000 0,000000 0,000000
100 1573564187 0,200000 -1,000000 -101,000000 0,000000 0,000000
100 1573564188 0,200000 -1,000000 -101,000000 0,000000 0,000000
100 1573564189 0,400000 -1,000000 -101,000000 0,000000 0,000000
100 1573564190 0,400000 -1,000000 -101,000000 0,000000 0,000000
100 1573564191 0,400000 -1,000000 -101,000000 0,000000 0,000000
100 1573564192 0,400000 -1,000000 -101,000000 0,000000 0,000000
100 1573564193 0,400000 -1,000000 -101,000000 0,000000 0,000000
100 1573564199 0,600000 -1,000000 -101,000000 0,000000 0,000000
100 1573564200 0,600000 -1,000000 -101,000000 0,000000 0,000000
100 1573564201 0,600000 -1,000000 -101,000000 0,000000 0,000000
100 1573564202 0,600000 -1,000000 -101,000000 0,000000 0,000000
100 1573564203 0,600000 -1,000000 -101,000000 0,000000 0,000000
100 1573564204 0,600000 -1,000000 -101,000000 0,000000 0,000000
100 1573564205 0,600000 -1,000000 -101,000000 0,000000 0,000000
100 1573564206 0,600000 -1,000000 -101,000000 0,000000 0,000000
100 1573564207 0,600000 -1,000000 -101,000000 0,000000 0,000000
100 1573564208 0,600000 -1,000000 -101,000000 0,000000 0,000000
100 1573564214 0,600000 -1,000000 -101,000000 0,000000 0,000000
100 1573564215 0,600000 -1,000000 -101,000000 0,000000 0,000000
100 1573564216 0,600000 -1,000000 -101,000000 0,000000 0,000000
100 1573564217 0,600000 -1,000000 -101,000000 0,000000 0,000000
100 1573564218 0,600000 -1,000000 -101,000000 0,000000 0,000000
100 1573564219 0,600000 -1,000000 -101,000000 0,000000 0,000000
100 1573564220 0,600000 -1,000000 -101,000000 0,000000 0,000000
100 1573564221 0,600000 -1,000000 -101,000000 0,000000 0,000000
100 1573564222 0,600000 -1,000000 -101,000000 0,000000 0,000000
100 1573564223 0,600000 -1,000000 -101,000000 0,000000 0,000000
