24 1573563791 1,500000 -1,000000 1,500000 1,500000 0,000000
24 1573563790 1,500000 -1,000000 1,500000 1,500000 0,000000
24 1573563789 0,200000 -1,000000 0,200000 0,200000 0,000000
24 1573563788 0,200000 -1,000000 0,200000 0,200000 0,000000
24 1573563787 0,200000 -1,000000 0,200000 0,200000 0,000000
24 1573563786 0,200000 -1,000000 0,200000 0,200000 0,000000
24 1573563785 0,200000 -1,000000 0,200000 0,200000 0,000000
24 1573563784 0,600000 -1,000000 0,600000 0,600000 0,000000
24 1573563783 0,600000 -1,000000 0,600000 0,600000 0,000000
24 1573563782 0,600000 -1,000000 0,600000 0,600000 0,000000
24 1573563781 0,600000 -1,000000 0,600000 0,600000 0,000000
24 1573563780 0,600000 -1,000000 0,600000 0,600000 0,000000
24 1573563774 0,600000 -1,000000 0,600000 0,600000 0,000000
24 1573563773 0,600000 -1,000000 0,600000 0,600000 0,000000
24 1573563772 0,600000 -1,000000 0,600000 0,600000 0,000000
24 1573563771 0,600000 -1,000000 0,600000 0,600000 0,000000
24 1573563770 0,600000 -1,000000 0,600000 0,600000 0,000000
24 1573563769 0,800000 -1,000000 0,800000 0,800000 0,000000
24 1573563768 0,800000 -1,000000 0,800000 0,800000 0,000000
24 1573563767 0,800000 -1,000000 0,800000 0,800000 0,000000
24 1573563766 0,800000 -1,000000 0,800000 0,800000 0,000000
24 1573563765 0,800000 -1,000000 0,800000 0,800000 0,000000
24 1573563759 1,200000 -1,000000 1,200000 1,200000 0,000000
24 1573563758 1,200000 -1,000000 1,200000 1,200000 0,000000
24 1573563757 1,200000 -1,000000 1,200000 1,200000 0,000000
24 1573563756 1,200000 -1,000000 1,200000 1,200000 0,000000
24 1573563755 1,200000 -1,000000 1,200000 1,200000 0,000000
24 1573563754 0,200000 -1,000000 0,200000 0,200000 0,000000
24 1573563753 0,200000 -1,000000 0,200000 0,200000 0,000000
24 1573563752 0,200000 -1,000000 0,200000 0,200000 0,000000
24 1573563751 0,200000 -1,000000 0,200000 0,200000 0,000000
24 1573563750 0,200000 -1,000000 0,200000 0,200000 0,000000
21 1573563791 1,000000 -1,000000 1,000000 1,000000 0,000000
21 1573563790 1,000000 -1,000000 1,000000 1,000000 0,000000
21 1573563789 0,200000 -1,000000 0,200000 0,200000 0,000000
21 1573563788 0,200000 -1,000000 0,200000 0,200000 0,000000
21 1573563787 0,200000 -1,000000 0,200000 0,200000 0,000000
21 1573563786 0,200000 -1,000000 0,200000 0,200000 0,000000
21 1573563785 0,200000 -1,000000 0,200000 0,200000 0,000000
21 1573563784 0,200000 -1,000000 0,200000 0,200000 0,000000
21 1573563783 0,200000 -1,000000 0,200000 0,200000 0,000000
21 1573563782 0,200000 -1,000000 0,200000 0,200000 0,000000
21 1573563781 0,200000 -1,000000 0,200000 0,200000 0,000000
21 1573563780 0,200000 -1,000000 0,200000 0,200000 0,000000
21 1573563774 0,600000 -1,000000 0,600000 0,600000 0,000000
21 1573563773 0,600000 -1,000000 0,600000 0,600000 0,000000
21 1573563772 0,600000 -1,000000 0,600000 0,600000 0,000000
21 1573563771 0,600000 -1,000000 0,600000 0,600000 0,000000
21 1573563770 0,600000 -1,000000 0,600000 0,600000 0,000000
21 1573563769 0,600000 -1,000000 0,600000 0,600000 0,000000
21 1573563768 0,600000 -1,000000 0,600000 0,600000 0,000000
21 1573563767 0,600000 -1,000000 0,600000 0,600000 0,000000
21 1573563766 0,600000 -1,000000 0,600000 0,600000 0,000000
21 1573563765 0,600000 -1,000000 0,600000 0,600000 0,000000
21 1573563759 0,800000 -1,000000 0,800000 0,800000 0,000000
21 1573563758 0,800000 -1,000000 0,800000 0,800000 0,000000
21 1573563757 0,800000 -1,000000 0,800000 0,800000 0,000000
21 1573563756 0,800000 -1,000000 0,800000 0,800000 0,000000
21 1573563755 0,800000 -1,000000 0,800000 0,800000 0,000000
21 1573563754 1,400000 -1,000000 1,400000 1,400000 0,000000
21 1573563753 1,400000 -1,000000 1,400000 1,400000 0,000000
21 1573563752 1,400000 -1,000000 1,400000 1,400000 0,000000
21 1573563751 1,400000 -1,000000 1,400000 1,400000 0,000000
21 1573563750 1,400000 -1,000000 1,400000 1,400000 0,000000
