13 1573563749 0,189197 0,200000 0,189197 0,189197 0,007159
13 1573563748 0,189197 0,200000 0,189197 0,189197 0,007159
13 1573563747 0,189197 0,200000 0,189197 0,189197 0,007159
13 1573563746 0,189197 0,200000 0,189197 0,189197 0,007159
13 1573563745 0,189197 0,200000 0,189197 0,189197 0,007159
40 1573563779 0,044699 0,200000 0,044699 0,044699 0,000400
40 1573563778 0,044699 0,200000 0,044699 0,044699 0,000400
40 1573563777 0,044699 0,200000 0,044699 0,044699 0,000400
40 1573563776 0,044699 0,200000 0,044699 0,044699 0,000400
40 1573563775 0,044699 0,200000 0,044699 0,044699 0,000400
40 1573563769 0,045224 0,200000 0,045224 0,045224 0,000409
40 1573563768 0,045224 0,200000 0,045224 0,045224 0,000409
40 1573563767 0,045224 0,200000 0,045224 0,045224 0,000409
40 1573563766 0,045224 0,200000 0,045224 0,045224 0,000409
40 1573563765 0,045224 0,200000 0,045224 0,045224 0,000409
40 1573563764 0,044664 0,200000 0,044664 0,044664 0,000399
40 1573563763 0,044664 0,200000 0,044664 0,044664 0,000399
40 1573563762 0,044664 0,200000 0,044664 0,044664 0,000399
40 1573563761 0,044664 0,200000 0,044664 0,044664 0,000399
40 1573563760 0,044664 0,200000 0,044664 0,044664 0,000399
49 1573563791 14,500665 0,500000 14,500665 14,500665 105,134642
49 1573563790 14,500665 0,500000 14,500665 14,500665 105,134642
43 1573563784 0,051380 0,200000 0,051380 0,051380 0,000528
43 1573563783 0,051380 0,200000 0,051380 0,051380 0,000528
43 1573563782 0,051380 0,200000 0,051380 0,051380 0,000528
43 1573563781 0,051380 0,200000 0,051380 0,051380 0,000528
43 1573563780 0,051380 0,200000 0,051380 0,051380 0,000528
16 1573563754 7,547331 0,200000 7,547331 7,547331 11,392442
16 1573563753 7,547331 0,200000 7,547331 7,547331 11,392442
16 1573563752 7,547331 0,200000 7,547331 7,547331 11,392442
16 1573563751 7,547331 0,200000 7,547331 7,547331 11,392442
16 1573563750 7,547331 0,200000 7,547331 7,547331 11,392442
46 1573563791 0,071172 0,500000 0,071172 0,071172 0,002533
46 1573563790 0,071172 0,500000 0,071172 0,071172 0,002533
37 1573563779 7,370243 0,200000 7,370243 7,370243 10,864096
37 1573563778 7,370243 0,200000 7,370243 7,370243 10,864096
37 1573563777 7,370243 0,200000 7,370243 7,370243 10,864096
37 1573563776 7,370243 0,200000 7,370243 7,370243 10,864096
37 1573563775 7,370243 0,200000 7,370243 7,370243 10,864096
37 1573563769 7,377054 0,200000 7,377054 7,377054 10,884186
37 1573563768 7,377054 0,200000 7,377054 7,377054 10,884186
37 1573563767 7,377054 0,200000 7,377054 7,377054 10,884186
37 1573563766 7,377054 0,200000 7,377054 7,377054 10,884186
37 1573563765 7,377054 0,200000 7,377054 7,377054 10,884186
37 1573563764 7,367304 0,200000 7,367304 7,367304 10,855433
37 1573563763 7,367304 0,200000 7,367304 7,367304 10,855433
37 1573563762 7,367304 0,200000 7,367304 7,367304 10,855433
37 1573563761 7,367304 0,200000 7,367304 7,367304 10,855433
37 1573563760 7,367304 0,200000 7,367304 7,367304 10,855433
55 1573563791 0,047470 0,500000 0,047470 0,047470 0,001127
55 1573563790 0,047470 0,500000 0,047470 0,047470 0,001127
52 1573563791 0,071107 0,500000 0,071107 0,071107 0,002528
52 1573563790 0,071107 0,500000 0,071107 0,071107 0,002528
19 1573563769 0,124525 0,200000 0,124525 0,124525 0,003101
19 1573563768 0,124525 0,200000 0,124525 0,124525 0,003101
19 1573563767 0,124525 0,200000 0,124525 0,124525 0,003101
19 1573563766 0,124525 0,200000 0,124525 0,124525 0,003101
19 1573563765 0,124525 0,200000 0,124525 0,124525 0,003101
19 1573563764 0,131029 0,200000 0,131029 0,131029 0,003434
19 1573563763 0,131029 0,200000 0,131029 0,131029 0,003434
19 1573563762 0,131029 0,200000 0,131029 0,131029 0,003434
19 1573563761 0,131029 0,200000 0,131029 0,131029 0,003434
19 1573563760 0,131029 0,200000 0,131029 0,131029 0,003434
19 1573563754 0,121817 0,200000 0,121817 0,121817 0,002968
19 1573563753 0,121817 0,200000 0,121817 0,121817 0,002968
19 1573563752 0,121817 0,200000 0,121817 0,121817 0,002968
19 1573563751 0,121817 0,200000 0,121817 0,121817 0,002968
19 1573563750 0,121817 0,200000 0,121817 0,121817 0,002968
