34 1573563791 -1,000000 0,500000 0,000000 0,000000 5100,625000
34 1573563790 -1,000000 0,500000 0,500000 0,500000 5100,625000
34 1573563789 0,000000 0,200000 1,000000 1,000000 2040,200000
34 1573563788 0,000000 0,200000 1,000000 1,000000 2040,200000
34 1573563787 0,000000 0,200000 1,000000 1,000000 2040,200000
34 1573563786 0,000000 0,200000 1,000000 1,000000 2040,200000
34 1573563785 0,000000 0,200000 1,000000 1,000000 2040,200000
34 1573563784 -2,000000 0,200000 1,000000 1,000000 2040,232000
34 1573563783 -2,000000 0,200000 1,400000 1,400000 2040,232000
34 1573563782 -2,000000 0,200000 1,800000 1,800000 2040,232000
34 1573563781 -2,000000 0,200000 2,200000 2,200000 2040,232000
34 1573563780 -2,000000 0,200000 2,600000 2,600000 2040,232000
34 1573563779 0,000000 0,200000 3,000000 3,000000 2040,200000
34 1573563778 0,000000 0,200000 3,000000 3,000000 2040,200000
34 1573563777 0,000000 0,200000 3,000000 3,000000 2040,200000
34 1573563776 0,000000 0,200000 3,000000 3,000000 2040,200000
34 1573563775 0,000000 0,200000 3,000000 3,000000 2040,200000
34 1573563774 0,000000 0,200000 3,000000 3,000000 2040,200000
34 1573563773 0,000000 0,200000 3,000000 3,000000 2040,200000
34 1573563772 0,000000 0,200000 3,000000 3,000000 2040,200000
34 1573563771 0,000000 0,200000 3,000000 3,000000 2040,200000
34 1573563770 0,000000 0,200000 3,000000 3,000000 2040,200000
34 1573563769 -1,000000 0,200000 3,000000 3,000000 2040,208000
34 1573563768 -1,000000 0,200000 3,200000 3,200000 2040,208000
34 1573563767 -1,000000 0,200000 3,400000 3,400000 2040,208000
34 1573563766 -1,000000 0,200000 3,600000 3,600000 2040,208000
34 1573563765 -1,000000 0,200000 3,800000 3,800000 2040,208000
34 1573563764 0,000000 0,200000 4,000000 4,000000 2040,200000
34 1573563763 0,000000 0,200000 4,000000 4,000000 2040,200000
34 1573563762 0,000000 0,200000 4,000000 4,000000 2040,200000
34 1573563761 0,000000 0,200000 4,000000 4,000000 2040,200000
34 1573563760 0,000000 0,200000 4,000000 4,000000 2040,200000
34 1573563759 -2,000000 0,200000 4,000000 4,000000 2040,232000
34 1573563758 -2,000000 0,200000 4,400000 4,400000 2040,232000
34 1573563757 -2,000000 0,200000 4,800000 4,800000 2040,232000
34 1573563756 -2,000000 0,200000 5,200000 5,200000 2040,232000
34 1573563755 -2,000000 0,200000 5,600000 5,600000 2040,232000
34 1573563754 6,000000 0,200000 6,000000 6,000000 2040,488000
34 1573563753 6,000000 0,200000 4,800000 4,800000 2040,488000
34 1573563752 6,000000 0,200000 3,600000 3,600000 2040,488000
34 1573563751 6,000000 0,200000 2,400000 2,400000 2040,488000
34 1573563750 6,000000 0,200000 1,200000 1,200000 2040,488000
34 1573563749 0,000000 0,200000 -101,000000 0,000000 0,000000
34 1573563748 0,000000 0,200000 -101,000000 0,000000 0,000000
34 1573563747 0,000000 0,200000 -101,000000 0,000000 0,000000
34 1573563746 0,000000 0,200000 -101,000000 0,000000 0,000000
